date,loanage,dlq,N
6/15/01,1,0,3
7/15/01,1,0,15
8/15/01,1,1,9
9/15/01,1,0,9
10/15/01,1,0,12
11/15/01,1,0,5
12/15/01,1,0,15
1/15/02,1,1,7
2/15/02,1,0,14
3/15/02,1,0,18
4/15/02,1,0,4
5/15/02,1,0,8
6/15/02,1,1,23
7/15/02,1,0,9
8/15/02,1,1,20
9/15/02,1,1,24
10/15/02,1,2,26
11/15/02,1,2,26
12/15/02,1,1,32
1/15/03,1,2,29
2/15/03,1,2,41
3/15/03,1,0,21
4/15/03,1,1,27
5/15/03,1,1,54
6/15/03,1,3,62
7/15/03,1,0,68
8/15/03,1,2,50
9/15/03,1,0,63
10/15/03,1,2,59
11/15/03,1,1,63
12/15/03,1,5,211
1/15/04,1,3,150
2/15/04,1,10,173
3/15/04,1,3,125
4/15/04,1,8,106
5/15/04,1,2,83
6/15/04,1,3,147
7/15/04,1,6,181
8/15/04,1,19,316
9/15/04,1,15,251
10/15/04,1,15,424
11/15/04,1,10,289
12/15/04,1,38,467
1/15/05,1,20,399
2/15/05,1,27,1253
3/15/05,1,41,1111
4/15/05,1,22,790
5/15/05,1,29,716
6/15/05,1,29,775
7/15/05,1,45,973
8/15/05,1,37,1214
9/15/05,1,51,1237
10/15/05,1,72,1762
11/15/05,1,144,1755
12/15/05,1,144,2211
1/15/06,1,99,1950
2/15/06,1,73,1588
3/15/06,1,61,1543
4/15/06,1,60,981
5/15/06,1,56,926
6/15/06,1,54,989
7/15/06,1,80,1455
8/15/06,1,90,1463
9/15/06,1,122,1504
10/15/06,1,192,2147
11/15/06,1,131,1701
12/15/06,1,142,1901
1/15/07,1,115,1891
2/15/07,1,134,1732
3/15/07,1,116,1827
4/15/07,1,99,1306
5/15/07,1,105,1409
6/15/07,1,135,1444
7/15/07,1,221,2013
8/15/07,1,238,2519
9/15/07,1,301,2692
10/15/07,1,306,3442
11/15/07,1,346,2723
12/15/07,1,371,2878
1/15/08,1,360,2721
2/15/08,1,373,2590
3/15/08,1,274,1813
4/15/08,1,297,1743
5/15/08,1,228,1536
6/15/08,1,215,1530
7/15/08,1,229,1831
8/15/08,1,181,1522
9/15/08,1,163,1660
10/15/08,1,173,1753
11/15/08,1,196,1551
12/15/08,1,155,1804
1/15/09,1,189,1869
2/15/09,1,115,1498
3/15/09,1,76,960
4/15/09,1,88,937
5/15/09,1,56,954
6/15/09,1,49,1102
7/15/09,1,77,1191
8/15/09,1,53,972
9/15/09,1,65,1266
10/15/09,1,78,1398
11/15/09,1,76,1321
12/15/09,1,74,1439
1/15/10,1,67,1284
2/15/10,1,51,1339
3/15/10,1,43,1400
4/15/10,1,42,809
5/15/10,1,29,467
6/15/10,1,27,607
7/15/10,1,20,702
8/15/10,1,24,724
9/15/10,1,55,817
10/15/10,1,34,1057
11/15/10,1,29,681
12/15/10,1,31,659
1/15/11,1,25,614
2/15/11,1,26,738
3/15/11,1,23,689
4/15/11,1,16,448
5/15/11,1,15,456
6/15/11,1,16,442
7/15/11,1,17,507
8/15/11,1,22,538
9/15/11,1,22,552
10/15/11,1,24,551
11/15/11,1,26,524
12/15/11,1,22,539
1/15/12,1,23,534
2/15/12,1,16,467
3/15/12,1,11,453
4/15/12,1,10,354
5/15/12,1,12,259
6/15/12,1,17,324
7/15/12,1,15,408
8/15/12,1,9,360
9/15/12,1,11,271
10/15/12,1,12,311
11/15/12,1,5,232
12/15/12,1,8,327
1/15/13,1,10,267
2/15/13,1,11,278
3/15/13,1,4,348
4/15/13,1,13,368
5/15/13,1,7,325
6/15/13,1,13,360
7/15/13,1,10,551
8/15/13,1,23,527
9/15/13,1,12,553
